Date,Value,Comment
1970-07-01T00:00:00.000+02:00,273.448,Historical data not yet verfied
1970-06-01T00:00:00.000+02:00,208.1184,Historical data not yet verfied
1970-05-01T00:00:00.000+02:00,353.248,Historical data not yet verfied
1970-04-01T00:00:00.000+02:00,19.2584,Historical data not yet verfied
1970-03-01T00:00:00.000+02:00,13.1936,Historical data not yet verfied
1970-02-01T00:00:00.000+02:00,28.3024,Historical data not yet verfied
1970-01-01T00:00:00.000+02:00,35.112,Historical data not yet verfied
1969-12-01T00:00:00.000+02:00,14.6832,Historical data not yet verfied
1969-11-01T00:00:00.000+02:00,37.8784,Historical data not yet verfied
1969-10-01T00:00:00.000+02:00,117.1464,Historical data not yet verfied
1969-09-01T00:00:00.000+02:00,229.824,Historical data not yet verfied
1969-08-01T00:00:00.000+02:00,165.8776,Historical data not yet verfied
1969-07-01T00:00:00.000+02:00,101.9312,Historical data not yet verfied
1969-06-01T00:00:00.000+02:00,192.7968,Historical data not yet verfied
1969-05-01T00:00:00.000+02:00,52.0296,Historical data not yet verfied
1969-04-01T00:00:00.000+02:00,104.6976,Historical data not yet verfied
1969-03-01T00:00:00.000+02:00,41.2832,Historical data not yet verfied
1969-02-01T00:00:00.000+02:00,39.5808,Historical data not yet verfied
1969-01-01T00:00:00.000+02:00,109.2728,Historical data not yet verfied
1968-12-01T00:00:00.000+02:00,69.0536,Historical data not yet verfied
1968-11-01T00:00:00.000+02:00,9.576,Historical data not yet verfied
1968-10-01T00:00:00.000+02:00,147.1512,Historical data not yet verfied
1968-09-01T00:00:00.000+02:00,65.0104,Historical data not yet verfied
1968-08-01T00:00:00.000+02:00,180.0288,Historical data not yet verfied
1968-07-01T00:00:00.000+02:00,237.6976,Historical data not yet verfied
1968-06-01T00:00:00.000+02:00,330.5848,Historical data not yet verfied
1968-05-01T00:00:00.000+02:00,157.3656,Historical data not yet verfied
1968-04-01T00:00:00.000+02:00,295.4728,Historical data not yet verfied
1968-03-01T00:00:00.000+02:00,0.2128,Historical data not yet verfied
1968-02-01T00:00:00.000+02:00,40.2192,Historical data not yet verfied
1968-01-01T00:00:00.000+02:00,179.3904,Historical data not yet verfied
1967-12-01T00:00:00.000+02:00,23.7272,Historical data not yet verfied
1967-11-01T00:00:00.000+02:00,103.6336,Historical data not yet verfied
1967-10-01T00:00:00.000+02:00,163.0048,Historical data not yet verfied
1967-09-01T00:00:00.000+02:00,122.7856,Historical data not yet verfied
1967-08-01T00:00:00.000+02:00,117.1464,Historical data not yet verfied
1967-07-01T00:00:00.000+02:00,154.4928,Historical data not yet verfied
1967-06-01T00:00:00.000+02:00,373.5704,Historical data not yet verfied
1967-05-01T00:00:00.000+02:00,173.7512,Historical data not yet verfied
1967-04-01T00:00:00.000+02:00,226.9512,Historical data not yet verfied
1967-03-01T00:00:00.000+02:00,17.556,Historical data not yet verfied
1967-02-01T00:00:00.000+02:00,0.7448,Historical data not yet verfied
1967-01-01T00:00:00.000+02:00,69.0536,Historical data not yet verfied
1966-12-01T00:00:00.000+02:00,39.5808,Historical data not yet verfied
1966-11-01T00:00:00.000+02:00,59.4776,Historical data not yet verfied
1966-10-01T00:00:00.000+02:00,9.576,Historical data not yet verfied
1966-09-01T00:00:00.000+02:00,98.5264,Historical data not yet verfied
1966-08-01T00:00:00.000+02:00,205.4584,Historical data not yet verfied
1966-07-01T00:00:00.000+02:00,240.0384,Historical data not yet verfied
1966-06-01T00:00:00.000+02:00,239.4,Historical data not yet verfied
1966-05-01T00:00:00.000+02:00,215.1408,Historical data not yet verfied
1966-04-01T00:00:00.000+02:00,103.6336,Historical data not yet verfied
1966-03-01T00:00:00.000+02:00,224.1848,Historical data not yet verfied
1966-02-01T00:00:00.000+02:00,44.688,Historical data not yet verfied
1966-01-01T00:00:00.000+02:00,5.1072,Historical data not yet verfied
1965-12-01T00:00:00.000+02:00,104.1656,Historical data not yet verfied
1965-11-01T00:00:00.000+02:00,26.6,Historical data not yet verfied
1965-10-01T00:00:00.000+02:00,41.9216,Historical data not yet verfied
1965-09-01T00:00:00.000+02:00,112.0392,Historical data not yet verfied
1965-08-01T00:00:00.000+02:00,251.8488,Historical data not yet verfied
1965-07-01T00:00:00.000+02:00,127.8928,Historical data not yet verfied
1965-06-01T00:00:00.000+02:00,99.0584,Historical data not yet verfied
1965-05-01T00:00:00.000+02:00,227.5896,Historical data not yet verfied
1965-04-01T00:00:00.000+02:00,155.1312,Historical data not yet verfied
1965-03-01T00:00:00.000+02:00,198.1168,Historical data not yet verfied
1965-02-01T00:00:00.000+02:00,122.7856,Historical data not yet verfied
1965-01-01T00:00:00.000+02:00,60.0096,Historical data not yet verfied
1964-12-01T00:00:00.000+02:00,24.3656,Historical data not yet verfied
